sample	mark	file	total_reads	reads_kept	reads_removed	fraction_kept	min_mapq	median_mapq	mapq_threshold
AGE030	R1_H3K56ac	AGE030_R1_H3K56ac.sam	20001	20001	0	1.0	60	60.0	30
AGE030	R1_H3K9ac	AGE030_R1_H3K9ac.sam	20688	20688	0	1.0	60	60.0	30
AGE030	R1_input	AGE030_R1_input.sam	15975	15975	0	1.0	60	60.0	30
AGE030	R2_H3K56ac	AGE030_R2_H3K56ac.sam	20072	20072	0	1.0	60	60.0	30
AGE030	R2_H3K9ac	AGE030_R2_H3K9ac.sam	20447	20447	0	1.0	60	60.0	30
AGE030	R2_input	AGE030_R2_input.sam	16228	16228	0	1.0	60	60.0	30
AGE030	R3_H3K56ac	AGE030_R3_H3K56ac.sam	19160	19160	0	1.0	60	60.0	30
AGE030	R3_H3K9ac	AGE030_R3_H3K9ac.sam	20233	20233	0	1.0	60	60.0	30
AGE030	R3_input	AGE030_R3_input.sam	16168	16168	0	1.0	60	60.0	30
AGE045	R1_H3K56ac	AGE045_R1_H3K56ac.sam	18423	18423	0	1.0	60	60.0	30
AGE045	R1_H3K9ac	AGE045_R1_H3K9ac.sam	19544	19544	0	1.0	60	60.0	30
AGE045	R1_input	AGE045_R1_input.sam	16147	16147	0	1.0	60	60.0	30
AGE045	R2_H3K56ac	AGE045_R2_H3K56ac.sam	19363	19363	0	1.0	60	60.0	30
AGE045	R2_H3K9ac	AGE045_R2_H3K9ac.sam	19340	19340	0	1.0	60	60.0	30
AGE045	R2_input	AGE045_R2_input.sam	15976	15976	0	1.0	60	60.0	30
AGE045	R3_H3K56ac	AGE045_R3_H3K56ac.sam	19274	19274	0	1.0	60	60.0	30
AGE045	R3_H3K9ac	AGE045_R3_H3K9ac.sam	20211	20211	0	1.0	60	60.0	30
AGE045	R3_input	AGE045_R3_input.sam	16079	16079	0	1.0	60	60.0	30
AGE060	R1_H3K56ac	AGE060_R1_H3K56ac.sam	18807	18807	0	1.0	60	60.0	30
AGE060	R1_H3K9ac	AGE060_R1_H3K9ac.sam	19111	19111	0	1.0	60	60.0	30
AGE060	R1_input	AGE060_R1_input.sam	15968	15968	0	1.0	60	60.0	30
AGE060	R2_H3K56ac	AGE060_R2_H3K56ac.sam	18259	18259	0	1.0	60	60.0	30
AGE060	R2_H3K9ac	AGE060_R2_H3K9ac.sam	19178	19178	0	1.0	60	60.0	30
AGE060	R2_input	AGE060_R2_input.sam	15978	15978	0	1.0	60	60.0	30
AGE060	R3_H3K56ac	AGE060_R3_H3K56ac.sam	18773	18773	0	1.0	60	60.0	30
AGE060	R3_H3K9ac	AGE060_R3_H3K9ac.sam	19436	19436	0	1.0	60	60.0	30
AGE060	R3_input	AGE060_R3_input.sam	15958	15958	0	1.0	60	60.0	30
AGE075	R1_H3K56ac	AGE075_R1_H3K56ac.sam	18279	18279	0	1.0	60	60.0	30
AGE075	R1_H3K9ac	AGE075_R1_H3K9ac.sam	18577	18577	0	1.0	60	60.0	30
AGE075	R1_input	AGE075_R1_input.sam	15991	15991	0	1.0	60	60.0	30
AGE075	R2_H3K56ac	AGE075_R2_H3K56ac.sam	18026	18026	0	1.0	60	60.0	30
AGE075	R2_H3K9ac	AGE075_R2_H3K9ac.sam	18313	18313	0	1.0	60	60.0	30
AGE075	R2_input	AGE075_R2_input.sam	15860	15860	0	1.0	60	60.0	30
AGE075	R3_H3K56ac	AGE075_R3_H3K56ac.sam	18215	18215	0	1.0	60	60.0	30
AGE075	R3_H3K9ac	AGE075_R3_H3K9ac.sam	18520	18520	0	1.0	60	60.0	30
AGE075	R3_input	AGE075_R3_input.sam	15812	15812	0	1.0	60	60.0	30
