# DunedinPACE model: 173 CpG coefficients (Belsky et al. 2022, eLife 11:e73420)
# source: https://github.com/danbelsky/DunedinPACE (CC BY 4.0 publication data)
# intercept	n/a	n/a	-1.9498585554
probe	weight	model_mean	gold_standard_mean
cg00112187	-0.139759310238	0.8499678449	0.8499678449
cg00151250	0.152307668669	0.7897610894	0.7897610894
cg00359421	0.105816787629	0.9717597610	0.9717597610
cg00513564	-0.121043994986	0.8480138105	0.8480138105
cg00532802	0.047299074744	0.2475593906	0.2475593906
cg00574958	-0.264536288806	0.1097207576	0.1097207576
cg00668559	-0.091071777592	0.1898852257	0.1898852257
cg00782811	0.076266176431	0.3909313843	0.3909313843
cg00835193	-0.058116807742	0.9168688056	0.9168688056
cg01055871	-0.231755224953	0.2708397202	0.2708397202
cg01101459	0.062707362364	0.8736696326	0.8736696326
cg01360413	0.015027794254	0.5147248840	0.5147248840
cg01554316	0.514654540542	0.9619479966	0.9619479966
cg01936220	-0.035599679197	0.2575877641	0.2575877641
cg02004723	0.009041309686	0.9432588277	0.9432588277
cg02079413	0.209052760962	0.8989191043	0.8989191043
cg02229095	0.024380663419	0.5808898699	0.5808898699
cg02300147	0.147962968413	0.1242693996	0.1242693996
cg02307277	0.036532422244	0.8932207211	0.8932207211
cg02571857	0.090938734379	0.6638228904	0.6638228904
cg02650017	-0.594269207515	0.0983089449	0.0983089449
cg02949067	-0.146029239353	0.8640316497	0.8640316497
cg02997983	0.028370224068	0.0853590232	0.0853590232
cg03604011	0.129093145392	0.0794250072	0.0794250072
cg03776935	0.158184085287	0.7473024928	0.7473024928
cg03810769	0.026989630556	0.8737263990	0.8737263990
cg03868770	-0.038831035950	0.7534216034	0.7534216034
cg04051458	0.168094328776	0.0903444909	0.0903444909
cg04105250	0.110935474532	0.1094868444	0.1094868444
cg04305539	-0.012085522815	0.6611683138	0.6611683138
cg04565261	0.064173651568	0.0796398898	0.0796398898
cg04600984	0.179655227741	0.8716198528	0.8716198528
cg04624885	0.073630300020	0.8013417385	0.8013417385
cg04927537	0.044407607358	0.6233050222	0.6233050222
cg05068951	0.022610719823	0.5791943681	0.5791943681
cg05085844	0.076393603704	0.8721680676	0.8721680676
cg05239308	0.002778884801	0.1254512700	0.1254512700
cg05304729	0.305355798686	0.3604458372	0.3604458372
cg05487507	-0.050982995758	0.8661479718	0.8661479718
cg05492170	0.039794604894	0.3244401646	0.3244401646
cg05671350	0.098763391504	0.3040308516	0.3040308516
cg05991820	0.010926193857	0.6794813004	0.6794813004
cg06182811	-0.055772838863	0.9145364626	0.9145364626
cg06230206	0.042801626492	0.5261287164	0.5261287164
cg06458557	0.103640858807	0.9285124714	0.9285124714
cg06500161	0.575113488689	0.7116781245	0.7116781245
cg06570125	0.616832801416	0.9055656277	0.9055656277
cg06797880	0.010529340791	0.5675131021	0.5675131021
cg06961233	0.113445147122	0.4922875107	0.4922875107
cg07019072	0.123692652702	0.8252171916	0.8252171916
cg07075169	-0.014862811865	0.2843588187	0.2843588187
cg07123481	0.066173755526	0.8915748292	0.8915748292
cg07244253	-0.021041913188	0.1550886269	0.1550886269
cg07471256	0.027696261296	0.8440649568	0.8440649568
cg07550819	-0.006625455314	0.8709134564	0.8709134564
cg07589381	-0.046560111467	0.7962601608	0.7962601608
cg08011245	0.061936654770	0.9318669006	0.9318669006
cg08225398	0.017189084957	0.0456319933	0.0456319933
cg08335662	-0.049369200134	0.6194106107	0.6194106107
cg08790676	0.039577209944	0.1139581279	0.1139581279
cg09022325	0.143985548014	0.9110189650	0.9110189650
cg09233395	-0.001734117740	0.2531929354	0.2531929354
cg09349128	-0.227449321164	0.3816923659	0.3816923659
cg09423875	-0.114664983977	0.8417012938	0.8417012938
cg09626521	-0.019446460955	0.2624557906	0.2624557906
cg09756865	0.042932018235	0.0962100374	0.0962100374
cg09760057	0.105052010891	0.8819275579	0.8819275579
cg09867945	0.134275760891	0.7781026732	0.7781026732
cg09933458	0.007859799649	0.2558177205	0.2558177205
cg09974965	-0.046184929437	0.7164938342	0.7164938342
cg10017843	-0.037356547437	0.2654895242	0.2654895242
cg10026495	0.111829827588	0.9026147844	0.9026147844
cg10053507	0.130117228892	0.6896357422	0.6896357422
cg10365246	0.081414019498	0.8455442213	0.8455442213
cg10919522	-0.300054743974	0.3103386372	0.3103386372
cg11095122	0.020413663069	0.7801583203	0.7801583203
cg11103390	0.013145701053	0.3526834129	0.3526834129
cg11202345	0.031345436072	0.2835790802	0.2835790802
cg11452501	-0.120362529305	0.7605436483	0.7605436483
cg11787522	0.024378202611	0.4579033786	0.4579033786
cg11835347	-0.122322762572	0.4480436300	0.4480436300
cg12041401	-0.061878805166	0.4582141498	0.4582141498
cg12446629	-0.035881637921	0.4058365186	0.4058365186
cg12547807	-0.185389630515	0.4048443794	0.4048443794
cg12820481	0.036837962617	0.3333770761	0.3333770761
cg13274938	0.302571784270	0.8318522850	0.8318522850
cg13300580	0.071181384658	0.5854392692	0.5854392692
cg13548189	0.005676792541	0.9104134557	0.9104134557
cg13586425	0.110002192105	0.8005546304	0.8005546304
cg13614083	0.033558368640	0.9092833806	0.9092833806
cg13702222	0.076065534087	0.4286674871	0.4286674871
cg13945148	0.041631401646	0.7165131057	0.7165131057
cg14110709	0.052515510216	0.7802810088	0.7802810088
cg14200569	0.025595130545	0.1381859208	0.1381859208
cg14702960	-0.294629346373	0.8796866435	0.8796866435
cg14816825	0.129187243851	0.8473522207	0.8473522207
cg14851284	0.063645994129	0.8486703384	0.8486703384
cg14876603	0.021760531891	0.6993884411	0.6993884411
cg14893274	-0.034717612617	0.6866672498	0.6866672498
cg15192750	0.353984781350	0.0529268924	0.0529268924
cg15815084	-0.052633733798	0.7190471044	0.7190471044
cg15829969	0.026997234394	0.7275656130	0.7275656130
cg15919431	-0.024983799796	0.2656911678	0.2656911678
cg15948836	0.176015105679	0.3796186486	0.3796186486
cg16098955	0.111167485719	0.8766029005	0.8766029005
cg16413763	0.026729689281	0.7618692483	0.7618692483
cg16416715	0.040020833088	0.2180362315	0.2180362315
cg16609260	0.022404080044	0.2071869655	0.2071869655
cg16739178	0.095146476049	0.7360589493	0.7360589493
cg16924010	0.267339896564	0.1824240256	0.1824240256
cg16969872	-0.208325235437	0.7985588819	0.7985588819
cg17018786	0.366762158764	0.6275195134	0.6275195134
cg17061862	-0.076977086336	0.7621871186	0.7621871186
cg17439800	0.267320793195	0.3687658245	0.3687658245
cg17460386	0.440323691162	0.4260523678	0.4260523678
cg17501210	-0.394520256861	0.8496240790	0.8496240790
cg17749946	0.089802234394	0.9203470526	0.9203470526
cg17765387	0.042340948790	0.7924979207	0.7924979207
cg17804112	0.018995343077	0.5930196386	0.5930196386
cg17841545	0.047757688900	0.9023235176	0.9023235176
cg17901584	-0.182080424070	0.5928847402	0.5928847402
cg17966227	-0.003774397733	0.8826295292	0.8826295292
cg18181703	-0.358576991607	0.6011011877	0.6011011877
cg18500368	0.005441764747	0.2176396166	0.2176396166
cg18513344	-0.037931633858	0.3304059085	0.3304059085
cg18519757	0.042915672609	0.6197352442	0.6197352442
cg20025658	0.101356931898	0.1674396553	0.1674396553
cg20964064	0.060447544440	0.5666157810	0.5666157810
cg21355338	0.009555706823	0.9250670157	0.9250670157
cg21439498	-0.198897004447	0.0965730887	0.0965730887
cg21486834	0.213240789776	0.8618505914	0.8618505914
cg21566642	-0.198763834666	0.6445599000	0.6445599000
cg21787176	-0.039031589760	0.7502537495	0.7502537495
cg21885107	0.042369588262	0.2629238344	0.2629238344
cg22029879	-0.000017402028	0.8558030998	0.8558030998
cg22036538	0.019569298882	0.4273398414	0.4273398414
cg22157099	0.010771257700	0.6877340368	0.6877340368
cg22367678	-0.154323607436	0.1992079252	0.1992079252
cg22488164	0.049869267775	0.8257010678	0.8257010678
cg22891595	0.101434665459	0.7680117384	0.7680117384
cg22912834	0.019399794565	0.3998478377	0.3998478377
cg23119487	0.018616954460	0.6625861705	0.6625861705
cg23152235	0.039302669573	0.1222182022	0.1222182022
cg23798387	-0.009753673051	0.1400367090	0.1400367090
cg23966795	0.027559949630	0.9103423102	0.9103423102
cg23997508	0.068903797417	0.8016253574	0.8016253574
cg24125710	0.178936328564	0.5886830907	0.5886830907
cg24174557	-0.057834397262	0.3172028151	0.3172028151
cg24268161	-0.134029312065	0.5067724406	0.5067724406
cg24318091	-0.021647401469	0.1696929516	0.1696929516
cg24352561	0.008561278770	0.8353270021	0.8353270021
cg24396875	-0.034829460526	0.8424902780	0.8424902780
cg24403644	0.011376872419	0.8767253530	0.8767253530
cg24531955	-0.114771739618	0.2717701271	0.2717701271
cg24737193	0.021982002426	0.8994143874	0.8994143874
cg24865132	-0.017183935836	0.1953157430	0.1953157430
cg24891125	0.043954753250	0.9268899866	0.9268899866
cg25243766	0.132381001997	0.5264296861	0.5264296861
cg25368647	-0.049664452581	0.6896691197	0.6896691197
cg25427524	0.082735455597	0.7018609646	0.7018609646
