window	log2FC	pvalue	qvalue	significant
chr1:565376:SIRT6-T1	1.2584	1.955e-129	1.955e-127	yes
chr2:744250:SIRT6-T2	1.1082	1.684e-103	2.246e-102	yes
chr3:128388000:SIRT6-T3	1.1422	1.532e-109	2.357e-108	yes
chr5:17786000:SIRT6-T4	1.0569	4.828e-96	5.082e-95	yes
chr6:28456000:SIRT6-T5	1.2073	1.141e-120	3.260e-119	yes
chr7:130838000:SIRT6-T6	1.1066	4.386e-100	4.874e-99	yes
chr10:27088000:SIRT6-T7	1.2057	6.287e-124	2.096e-122	yes
chr11:65562000:SIRT6-T8	1.1227	3.501e-101	4.377e-100	yes
chr12:56817000:SIRT6-T9	1.1349	2.189e-111	3.980e-110	yes
chr13:45396000:SIRT6-T10	1.1731	2.122e-116	5.306e-115	yes
chr15:66190000:SIRT6-T11	1.1667	2.295e-115	5.101e-114	yes
chr17:47834000:SIRT6-T12	1.2284	3.551e-124	1.420e-122	yes
chr19:47800000:SIRT6-T13	1.0278	4.061e-89	4.061e-88	yes
chr22:19668000:SIRT6-T14	1.1452	5.551e-110	9.251e-109	yes
chr1:20608000:SIRT6-T15	1.1376	1.011e-108	1.444e-107	yes
chr2:47610000:SIRT6-T16	1.1617	1.095e-111	2.191e-110	yes
chr3:98188000:SIRT6-T17	1.2234	1.588e-124	7.941e-123	yes
chr5:78320000:SIRT6-T18	1.2689	1.003e-133	2.005e-131	yes
chr6:33124000:SIRT6-T19	1.0968	7.795e-101	9.170e-100	yes
chr7:11756000:SIRT6-T20	1.2344	5.229e-126	3.486e-124	yes
chr20:47839660:DECOY0	-0.2776	1.000e+00	1.000e+00	no
chr18:64330064:DECOY1	-0.3219	1.000e+00	1.000e+00	no
chr19:21099175:DECOY2	-0.1820	9.978e-01	1.000e+00	no
chr22:7098094:DECOY3	0.0618	1.728e-01	1.000e+00	no
chr5:85329480:DECOY4	-0.1635	9.944e-01	1.000e+00	no
chr4:17152434:DECOY5	-0.2081	9.994e-01	1.000e+00	no
chr2:55476945:DECOY6	-0.2414	9.999e-01	1.000e+00	no
chr6:2963516:DECOY7	-0.2187	9.996e-01	1.000e+00	no
chr20:84453188:DECOY8	-0.2186	9.996e-01	1.000e+00	no
chr10:108055579:DECOY9	-0.1815	9.971e-01	1.000e+00	no
chr11:74815013:DECOY10	-0.3446	1.000e+00	1.000e+00	no
chr2:106744154:DECOY11	-0.5058	1.000e+00	1.000e+00	no
chr21:17325218:DECOY12	-0.2176	9.996e-01	1.000e+00	no
chr19:73507566:DECOY13	-0.3914	1.000e+00	1.000e+00	no
chr15:102279692:DECOY14	-0.2792	1.000e+00	1.000e+00	no
chr19:100111289:DECOY15	-0.3639	1.000e+00	1.000e+00	no
chr13:65071271:DECOY16	-0.1310	9.784e-01	1.000e+00	no
chr22:30184707:DECOY17	-0.1382	9.847e-01	1.000e+00	no
chr2:41286974:DECOY18	-0.1890	9.984e-01	1.000e+00	no
chr8:37720475:DECOY19	-0.1224	9.724e-01	1.000e+00	no
chr6:2558800:DECOY20	-0.2322	9.998e-01	1.000e+00	no
chr3:72130485:DECOY21	-0.2267	9.998e-01	1.000e+00	no
chr9:5330643:DECOY22	-0.2163	9.996e-01	1.000e+00	no
chr1:107524554:DECOY23	-0.1786	9.978e-01	1.000e+00	no
chr15:10754840:DECOY24	-0.2660	1.000e+00	1.000e+00	no
chr11:17382950:DECOY25	-0.3152	1.000e+00	1.000e+00	no
chr22:26155446:DECOY26	-0.2369	9.999e-01	1.000e+00	no
chr8:41657262:DECOY27	-0.2936	1.000e+00	1.000e+00	no
chr4:2184804:DECOY28	-0.3373	1.000e+00	1.000e+00	no
chr3:97494656:DECOY29	-0.2399	9.998e-01	1.000e+00	no
chr11:19986878:DECOY30	0.0643	1.678e-01	1.000e+00	no
chr3:53102777:DECOY31	-0.2953	1.000e+00	1.000e+00	no
chr16:1587923:DECOY32	-0.2996	1.000e+00	1.000e+00	no
chr3:53896438:DECOY33	-0.2278	9.998e-01	1.000e+00	no
chr13:14050390:DECOY34	-0.1257	9.734e-01	1.000e+00	no
chr12:93057029:DECOY35	-0.2213	9.998e-01	1.000e+00	no
chr2:115754405:DECOY36	-0.2531	1.000e+00	1.000e+00	no
chr2:52262747:DECOY37	-0.1030	9.448e-01	1.000e+00	no
chr21:79653053:DECOY38	-0.2731	1.000e+00	1.000e+00	no
chr3:90532707:DECOY39	0.0719	1.334e-01	1.000e+00	no
chr21:86628161:DECOY40	-0.0764	8.849e-01	1.000e+00	no
chr3:41949043:DECOY41	-0.2965	1.000e+00	1.000e+00	no
chr2:71611068:DECOY42	-0.3382	1.000e+00	1.000e+00	no
chr15:11867419:DECOY43	-0.0956	9.347e-01	1.000e+00	no
chr3:108387480:DECOY44	-0.0925	9.273e-01	1.000e+00	no
chr22:64425629:DECOY45	-0.1864	9.977e-01	1.000e+00	no
chr8:35602307:DECOY46	-0.2475	9.999e-01	1.000e+00	no
chr18:94399768:DECOY47	-0.1908	9.984e-01	1.000e+00	no
chr5:105684321:DECOY48	-0.1998	9.990e-01	1.000e+00	no
chr1:26067950:DECOY49	-0.3812	1.000e+00	1.000e+00	no
chr6:48180569:DECOY50	-0.1390	9.843e-01	1.000e+00	no
chr18:106476272:DECOY51	-0.3280	1.000e+00	1.000e+00	no
chr14:36624826:DECOY52	-0.0731	8.763e-01	1.000e+00	no
chr8:62094037:DECOY53	-0.0497	7.850e-01	1.000e+00	no
chr22:92143035:DECOY54	-0.5355	1.000e+00	1.000e+00	no
chr12:80763446:DECOY55	-0.1877	9.981e-01	1.000e+00	no
chr12:20167939:DECOY56	-0.3273	1.000e+00	1.000e+00	no
chr12:38523590:DECOY57	-0.2016	9.991e-01	1.000e+00	no
chr2:101400363:DECOY58	-0.1118	9.631e-01	1.000e+00	no
chr16:78113893:DECOY59	-0.2536	9.999e-01	1.000e+00	no
chr17:23334722:DECOY60	-0.1116	9.628e-01	1.000e+00	no
chr2:115620249:DECOY61	-0.2958	1.000e+00	1.000e+00	no
chr16:71770635:DECOY62	-0.1344	9.824e-01	1.000e+00	no
chr1:104933922:DECOY63	-0.2915	1.000e+00	1.000e+00	no
chr4:23686046:DECOY64	-0.3556	1.000e+00	1.000e+00	no
chr11:110021073:DECOY65	-0.3829	1.000e+00	1.000e+00	no
chr6:26174957:DECOY66	-0.2065	9.992e-01	1.000e+00	no
chr4:93876385:DECOY67	-0.2759	1.000e+00	1.000e+00	no
chr18:44042925:DECOY68	-0.1882	9.982e-01	1.000e+00	no
chr2:50449849:DECOY69	-0.0836	9.040e-01	1.000e+00	no
chr7:18129541:DECOY70	-0.1465	9.883e-01	1.000e+00	no
chr5:28426536:DECOY71	-0.1121	9.621e-01	1.000e+00	no
chr4:73927312:DECOY72	-0.2545	1.000e+00	1.000e+00	no
chr4:10217200:DECOY73	-0.2888	1.000e+00	1.000e+00	no
chr16:19698521:DECOY74	-0.2978	1.000e+00	1.000e+00	no
chr12:63622720:DECOY75	-0.2427	9.999e-01	1.000e+00	no
chr3:3186113:DECOY76	-0.2552	9.999e-01	1.000e+00	no
chr21:28709929:DECOY77	-0.2631	1.000e+00	1.000e+00	no
chr22:112294612:DECOY78	-0.3662	1.000e+00	1.000e+00	no
chr5:17746064:DECOY79	-0.3329	1.000e+00	1.000e+00	no
chr11:16936227:DECOY80	-0.3644	1.000e+00	1.000e+00	no
chr2:50744707:DECOY81	-0.3228	1.000e+00	1.000e+00	no
chr1:102027180:DECOY82	-0.1951	9.984e-01	1.000e+00	no
chr8:41822138:DECOY83	-0.2608	1.000e+00	1.000e+00	no
chr3:83206212:DECOY84	-0.1185	9.677e-01	1.000e+00	no
chr1:109831896:DECOY85	-0.2222	9.997e-01	1.000e+00	no
chr17:39349168:DECOY86	-0.2398	9.999e-01	1.000e+00	no
chr21:25153467:DECOY87	-0.4124	1.000e+00	1.000e+00	no
chr12:14560857:DECOY88	-0.3186	1.000e+00	1.000e+00	no
chr18:67235007:DECOY89	-0.1787	9.970e-01	1.000e+00	no
chr15:102028727:DECOY90	-0.1051	9.487e-01	1.000e+00	no
chr1:34514862:DECOY91	-0.2729	1.000e+00	1.000e+00	no
chr11:68822603:DECOY92	-0.0824	9.021e-01	1.000e+00	no
chr12:105168753:DECOY93	-0.1634	9.948e-01	1.000e+00	no
chr7:49952339:DECOY94	-0.1298	9.783e-01	1.000e+00	no
chr1:43457234:DECOY95	-0.3090	1.000e+00	1.000e+00	no
chr18:96233659:DECOY96	-0.2001	9.992e-01	1.000e+00	no
chr14:108279731:DECOY97	-0.2312	9.999e-01	1.000e+00	no
chr10:26555207:DECOY98	-0.2550	9.999e-01	1.000e+00	no
chr6:32902598:DECOY99	-0.0939	9.301e-01	1.000e+00	no
chr2:39119565:DECOY100	-0.4016	1.000e+00	1.000e+00	no
chr8:54129956:DECOY101	-0.2957	1.000e+00	1.000e+00	no
chr17:94462303:DECOY102	-0.2383	9.998e-01	1.000e+00	no
chr6:39676619:DECOY103	-0.3009	1.000e+00	1.000e+00	no
chr13:76674425:DECOY104	-0.2755	1.000e+00	1.000e+00	no
chr22:49216369:DECOY105	-0.1310	9.798e-01	1.000e+00	no
chr12:28433875:DECOY106	-0.2341	9.999e-01	1.000e+00	no
chr15:5815860:DECOY107	0.0023	4.940e-01	1.000e+00	no
chr10:7398385:DECOY108	-0.0034	5.297e-01	1.000e+00	no
chr4:35654561:DECOY109	-0.1083	9.581e-01	1.000e+00	no
chr2:104995215:DECOY110	-0.1599	9.945e-01	1.000e+00	no
chr10:54602176:DECOY111	-0.0680	8.559e-01	1.000e+00	no
chr22:23580381:DECOY112	-0.1320	9.790e-01	1.000e+00	no
chr18:107327235:DECOY113	-0.2692	1.000e+00	1.000e+00	no
chr12:93495938:DECOY114	-0.2573	1.000e+00	1.000e+00	no
chr18:18392444:DECOY115	-0.1508	9.906e-01	1.000e+00	no
chr10:16374229:DECOY116	-0.1333	9.806e-01	1.000e+00	no
chr12:9179097:DECOY117	-0.0898	9.204e-01	1.000e+00	no
chr4:62245375:DECOY118	-0.3220	1.000e+00	1.000e+00	no
chr19:113181128:DECOY119	-0.1755	9.968e-01	1.000e+00	no
chr10:101304049:DECOY120	-0.3546	1.000e+00	1.000e+00	no
chr2:19240681:DECOY121	-0.2213	9.996e-01	1.000e+00	no
chr18:17608616:DECOY122	-0.1650	9.944e-01	1.000e+00	no
chr22:79691022:DECOY123	-0.2838	1.000e+00	1.000e+00	no
chr5:5117629:DECOY124	-0.2399	9.999e-01	1.000e+00	no
chr7:27130806:DECOY125	-0.1910	9.986e-01	1.000e+00	no
chr14:62169756:DECOY126	-0.2354	9.999e-01	1.000e+00	no
chr7:70082914:DECOY127	-0.2547	1.000e+00	1.000e+00	no
chr10:112951264:DECOY128	-0.1379	9.831e-01	1.000e+00	no
chr22:88260112:DECOY129	-0.1480	9.890e-01	1.000e+00	no
chr2:38595767:DECOY130	-0.3394	1.000e+00	1.000e+00	no
chr4:45374804:DECOY131	-0.2666	1.000e+00	1.000e+00	no
chr14:108387208:DECOY132	-0.1260	9.761e-01	1.000e+00	no
chr8:15991115:DECOY133	-0.2165	9.996e-01	1.000e+00	no
chr18:17149280:DECOY134	-0.2534	9.999e-01	1.000e+00	no
chr15:112158995:DECOY135	-0.2238	9.997e-01	1.000e+00	no
chr20:44597603:DECOY136	-0.1581	9.922e-01	1.000e+00	no
chr1:17360947:DECOY137	-0.2172	9.996e-01	1.000e+00	no
chr1:92842808:DECOY138	-0.2383	9.999e-01	1.000e+00	no
chr5:57917137:DECOY139	-0.1680	9.955e-01	1.000e+00	no
chr4:35397361:DECOY140	-0.4019	1.000e+00	1.000e+00	no
chr6:108618735:DECOY141	-0.0586	8.214e-01	1.000e+00	no
chr15:91393022:DECOY142	-0.3090	1.000e+00	1.000e+00	no
chr9:40972437:DECOY143	-0.1424	9.870e-01	1.000e+00	no
chr5:36571180:DECOY144	-0.1261	9.754e-01	1.000e+00	no
chr4:63086262:DECOY145	-0.3038	1.000e+00	1.000e+00	no
chr17:101822405:DECOY146	-0.2130	9.995e-01	1.000e+00	no
chr19:18864448:DECOY147	-0.0800	8.938e-01	1.000e+00	no
